search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
1005, Mini Audifono Bluetooth Inalambrico 4.0 Microfono Dlectro ,19,NA,1,599,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.DLECTRO.COM,https://articulo.mercadolibre.com.pe/MPE-432835775-mini-audifono-bluetooth-inalambrico-40-microfono-dlectro-_JM,NA,NA,NA,NA,NA,#432835775,NA,NA,NA
1006, Audifono Bluetooth Oferta! Lider Oferta ,10,NA,1,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436039420-audifono-bluetooth-oferta-lider-oferta-_JM,NA,NA,NA,NA,NA,#436039420,NA,NA,NA
1007, Audifonos Bluetooth Manos Libre Hbs-730 Musica Llamadas ,38,NA,2,98,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/POLAR.IMPORT,https://articulo.mercadolibre.com.pe/MPE-429086531-audifonos-bluetooth-manos-libre-hbs-730-musica-llamadas-_JM,NA,NA,NA,NA,NA,#429086531,NA,NA,NA
1008, Samsung Audifonos Level U Wirelles Bluetooth S6 S7 S7 Edge ,139,159,0,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436526389-samsung-audifonos-level-u-wirelles-bluetooth-s6-s7-s7-edge-_JM,NA,NA,NA,NA,NA,#436526389,NA,Samsung,NA
1009, Audífono Inalámbrico Bluetooth ,35,NA,3,47,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-427743169-audifono-inalambrico-bluetooth-_JM,NA,NA,NA,NA,NA,#427743169,NA,NA,NA
1010, Audifonos AirPods I10 Tws Bluetooth 5.0 Tactil Carga Rapida ,174,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MILLENIUMIMPORT+PERU,https://articulo.mercadolibre.com.pe/MPE-436529028-audifonos-airpods-i10-tws-bluetooth-50-tactil-carga-rapida-_JM,NA,NA,NA,NA,NA,#436529028,NA,NA,NA
1011, Aufifono Bluetooth Sony Al Por Mayor Y Menor.... !!!!!!!!! ,40,NA,14,86,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUNIOR+R.H,https://articulo.mercadolibre.com.pe/MPE-432269485-aufifono-bluetooth-sony-al-por-mayor-y-menor--_JM,NA,NA,NA,NA,NA,#432269485,NA,Sony,NA
1012, Pulse | Audífonos Con Tecnología Inalámbrica Khs-628wh ,84,NA,NA,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORAMESAJILHNOS?brandId=153,https://articulo.mercadolibre.com.pe/MPE-436144839-pulse-audifonos-con-tecnologia-inalambrica-khs-628wh-_JM,NA,NA,NA,NA,NA,#436144839,NA,Klip Xtreme,NA
1013, Auricular Bluetooth Imantado ,20,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SHOPPING.ONLINE+PERU,https://articulo.mercadolibre.com.pe/MPE-436794352-auricular-bluetooth-imantado-_JM,NA,NA,NA,NA,NA,#436794352,NA,NA,NA
1014, Audífonos Bluetooth Soundcore Space Nc ,599,NA,NA,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434540812-audifonos-bluetooth-soundcore-space-nc-_JM,NA,NA,NA,NA,NA,#434540812,NA,NA,NA
