search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
73, 4 En 1 Afeitadora Eléctrica Mini Cortador De Afeitado Ind ,205,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724658-4-en-1-afeitadora-electrica-mini-cortador-de-afeitado-ind-_JM,NA,NA,NA,NA,NA,#435724658,Brino
74, Afeitadora Electrica Para Uso Seco Y Humedo S107004 Philips ,259,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAIRYEXPRESS,https://articulo.mercadolibre.com.pe/MPE-435483739-afeitadora-electrica-para-uso-seco-y-humedo-s107004-philips-_JM,NA,NA,NA,NA,NA,#435483739,NA
75, Afeitadora Eléctrica Para Damas Vicooda 5 En 1 Maquinilla ,231,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435735089-afeitadora-electrica-para-damas-vicooda-5-en-1-maquinilla-_JM,NA,NA,NA,NA,NA,#435735089,Vicooda
76, Afeitadora Eléctrica Aquatouch Philips S5420_04 ,459,NA,0,40,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437066929-afeitadora-electrica-aquatouch-philips-s542004-_JM,NA,NA,NA,NA,NA,#437066929,NA
77, Miserwe 2 En 1 Afeitadora Eléctrica Sin Dolor Recortadora ,146,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435809712-miserwe-2-en-1-afeitadora-electrica-sin-dolor-recortadora-_JM,NA,NA,NA,NA,NA,#435809712,Miserwe
78," Panasonic Razor, Es-lf51-a, Afeitadora Electrica Sin Cable D ",567,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436105465-panasonic-razor-es-lf51-a-afeitadora-electrica-sin-cable-d-_JM,NA,NA,NA,NA,NA,#436105465,Panasonic
79, Rasuradora Eléctrica Recargable Hombres 4 Hoja Profesional ,149,NA,1,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CUBANO+SERIEDAD,https://articulo.mercadolibre.com.pe/MPE-432174100-rasuradora-electrica-recargable-hombres-4-hoja-profesional-_JM,NA,NA,NA,NA,NA,#432174100,NA
80, Maquina Afeitador Eléctrica Depilador Rasuradora Xiaomi ,80,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436722920-maquina-afeitador-electrica-depilador-rasuradora-xiaomi-_JM,NA,NA,NA,NA,NA,#436722920,NA
81, Panasonic Wes9025pc Hombres Afeitadora Eléctrica Recambio ,375,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-436913102-panasonic-wes9025pc-hombres-afeitadora-electrica-recambio-_JM,NA,NA,NA,NA,NA,#436913102,Panasonic
82, Corta Pelo Eléctrico Kemei Afeitador Rasurador Barba ,149,NA,17,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3,1,http://perfil.mercadolibre.com.pe/JUANCABALLERO12,https://articulo.mercadolibre.com.pe/MPE-424694863-corta-pelo-electrico-kemei-afeitador-rasurador-barba-_JM,0,0,1,0,0,#424694863,Kemei
83, Afeitadora Eléctrica Aquatouch Philips At620_14 ,289,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437066482-afeitadora-electrica-aquatouch-philips-at62014-_JM,NA,NA,NA,NA,NA,#437066482,NA
84, Afeitadora Eléctrica Phillips Satinshave Advanced ,145,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437254202-afeitadora-electrica-phillips-satinshave-advanced-_JM,NA,NA,NA,NA,NA,#437254202,NA
85, Afeitadora Eléctrica Aquatouch Philips S1070_04 ,199,NA,0,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437066258-afeitadora-electrica-aquatouch-philips-s107004-_JM,NA,NA,NA,NA,NA,#437066258,NA
86, Maquina Afeitador Electrica Depiladora Rasuradora Xiaomi ,85,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437486012-maquina-afeitador-electrica-depiladora-rasuradora-xiaomi-_JM,NA,NA,NA,NA,NA,#437486012,NA
87, Remington Pantallas Y Cortadores De Afeitadora Electrica Par ,181,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436105828-remington-pantallas-y-cortadores-de-afeitadora-electrica-par-_JM,NA,NA,NA,NA,NA,#436105828,Remington
88, Depilador Electrico Rasurador Vello Facial Recargable Led ,45,NA,0,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AYMNEGOCIOS,https://articulo.mercadolibre.com.pe/MPE-437505927-depilador-electrico-rasurador-vello-facial-recargable-led-_JM,NA,NA,NA,NA,NA,#437505927,NA
89, Afeitadora Eléctrica Aquatouch Philips S1030_04 ,169,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-437066087-afeitadora-electrica-aquatouch-philips-s103004-_JM,NA,NA,NA,NA,NA,#437066087,NA
90, Depilador Flawless Electrico Rasurador Vello Facial Con Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,https://articulo.mercadolibre.com.pe/MPE-437384179-depilador-flawless-electrico-rasurador-vello-facial-con-led-_JM,NA,NA,NA,NA,NA,#437384179,NA
91, Afeitadora Eléctrica Razor Barba Para Hombre Impermeable Pf ,199,NA,0,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/USASTOREPERU,https://articulo.mercadolibre.com.pe/MPE-437601939-afeitadora-electrica-razor-barba-para-hombre-impermeable-pf-_JM,NA,NA,NA,NA,NA,#437601939,NA
92, Depilador Facial Electrico Rasurador Vello Facial Con Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESSICAJUOBONIFACIO,https://articulo.mercadolibre.com.pe/MPE-437387628-depilador-facial-electrico-rasurador-vello-facial-con-led-_JM,NA,NA,NA,NA,NA,#437387628,NA
93, Depilador Facial Electrico Rasurador Vello Facial Con Led ,24,NA,0,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANALULOZANO,https://articulo.mercadolibre.com.pe/MPE-437387633-depilador-facial-electrico-rasurador-vello-facial-con-led-_JM,NA,NA,NA,NA,NA,#437387633,NA
94, Panasonic Wes9032p Hombres Afeitadora Eléctrica Recambio ,384,NA,1,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433525601-panasonic-wes9032p-hombres-afeitadora-electrica-recambio-_JM,NA,NA,NA,NA,NA,#433525601,Panasonic
95, Depilador Vello Facial Electrico Rasurador Flawless Con Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANALULOZANO,https://articulo.mercadolibre.com.pe/MPE-437504582-depilador-vello-facial-electrico-rasurador-flawless-con-led-_JM,NA,NA,NA,NA,NA,#437504582,NA
96, Depilador Vello Facial Electrico Rasurador Flawless Con Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESSICAJUOBONIFACIO,https://articulo.mercadolibre.com.pe/MPE-437504587-depilador-vello-facial-electrico-rasurador-flawless-con-led-_JM,NA,NA,NA,NA,NA,#437504587,NA
97, Depilador Femenino Electrico Rasurador Vello Facial Led ,24,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESSICAJUOBONIFACIO,https://articulo.mercadolibre.com.pe/MPE-437504634-depilador-femenino-electrico-rasurador-vello-facial-led-_JM,NA,NA,NA,NA,NA,#437504634,NA
